PassengerId,Survived
1,0
6,0
8,1
9,0
10,0
12,1
13,0
14,0
15,0
19,1
25,0
26,1
29,1
32,1
37,0
40,0
41,1
44,0
45,1
47,0
51,1
53,0
56,1
61,0
63,1
64,0
66,0
67,0
68,0
69,1
72,0
73,1
75,0
77,0
79,0
80,0
82,1
83,0
85,1
87,0
88,0
90,1
94,1
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
107,0
110,1
111,1
113,1
114,1
115,1
116,1
117,0
119,0
120,0
121,1
123,0
125,0
128,0
133,0
139,0
140,0
141,1
142,0
147,1
148,1
152,0
153,0
157,0
163,1
166,1
167,0
171,0
172,0
174,0
178,1
179,0
183,1
185,1
186,0
190,0
191,0
193,1
194,0
195,0
196,1
197,0
200,0
201,1
203,0
206,1
207,1
208,0
211,0
213,0
219,0
220,0
223,0
225,0
227,1
230,1
231,1
232,1
233,0
236,1
238,1
239,0
240,0
241,0
243,0
247,0
248,0
250,0
252,0
258,0
259,0
260,1
262,0
267,1
268,0
274,0
277,0
280,0
283,0
284,0
286,1
287,0
288,1
289,0
291,0
294,1
295,0
302,0
303,1
305,1
309,0
311,0
315,1
319,0
323,1
328,0
329,1
330,1
331,1
333,1
335,0
337,1
339,0
340,0
343,0
344,0
345,1
346,1
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,0
355,0
357,1
360,1
362,0
366,1
367,0
369,1
371,0
372,1
374,0
375,1
376,0
380,1
381,1
383,1
384,1
387,0
389,0
391,1
393,0
395,0
396,1
398,0
399,1
400,1
404,1
408,0
409,0
411,0
412,0
416,0
418,0
419,0
427,1
428,1
430,0
431,0
433,0
434,0
437,0
440,0
441,0
442,0
445,0
446,0
447,1
448,1
449,0
450,0
451,0
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,1
462,1
463,1
464,1
465,0
467,1
468,1
471,1
472,0
474,1
475,0
480,0
481,0
484,0
486,1
489,0
490,0
492,1
494,1
495,0
498,1
500,1
508,0
510,0
511,0
513,0
517,1
518,0
519,0
521,0
524,0
525,0
526,1
533,1
534,1
535,0
538,0
539,0
540,0
544,0
545,1
546,0
547,1
548,1
549,0
551,1
552,0
554,0
555,1
556,0
558,1
559,0
560,0
561,1
567,1
568,0
570,1
571,1
572,0
575,0
579,0
580,0
581,1
582,0
585,1
587,0
588,0
589,0
591,1
593,1
595,0
600,1
603,0
605,0
616,1
617,0
621,0
623,0
624,0
625,1
626,0
629,1
630,1
631,0
633,1
635,0
637,0
638,0
639,0
640,1
647,1
648,0
649,0
652,0
656,0
657,1
660,1
661,1
662,1
666,0
667,0
671,0
673,0
674,1
675,1
677,0
678,0
679,1
680,0
682,1
684,0
685,0
687,0
689,0
690,0
692,1
694,0
695,1
696,1
697,1
698,0
700,0
702,1
703,0
704,1
705,0
709,1
713,1
718,0
719,0
721,1
722,0
723,0
724,0
725,0
726,0
728,0
729,1
730,1
731,0
734,1
735,0
736,0
737,1
739,1
741,0
743,0
745,0
747,1
751,0
752,0
754,1
757,1
760,0
761,0
766,0
769,1
772,0
775,1
776,0
778,0
779,0
781,0
783,0
786,0
790,0
791,0
792,1
793,0
796,0
800,1
804,1
807,1
808,0
810,1
811,1
812,1
813,0
814,1
819,1
820,1
824,0
827,1
828,0
829,0
830,0
831,1
832,1
833,0
834,0
835,0
839,0
842,0
843,0
844,0
846,1
847,1
852,1
853,0
856,1
858,0
863,0
868,0
872,1
874,0
876,1
877,0
878,0
880,1
886,1
891,0
893,0
899,0
908,1
914,0
915,1
916,0
920,0
921,1
922,0
923,0
926,1
927,0
929,0
930,1
931,1
932,1
940,0
942,0
944,0
947,1
948,0
952,0
953,1
955,0
956,0
957,0
962,0
965,1
966,0
970,0
971,1
973,0
974,1
980,1
985,0
991,1
992,0
995,0
997,1
998,1
999,1
1004,0
1005,1
1006,0
1010,1
1011,1
1013,1
1014,1
1015,1
1017,0
1020,0
1021,0
1023,0
1026,0
1027,1
1031,0
1033,0
1037,0
1038,0
1039,1
1041,0
1042,0
1044,0
1045,0
1046,0
1050,0
1051,0
1054,1
1055,1
1056,0
1057,1
1058,0
1059,0
1060,1
1062,1
1063,1
1065,1
1068,0
1070,0
1071,1
1072,1
1074,0
1078,1
1079,1
1080,1
1084,0
1088,0
1089,0
1090,0
1091,0
1092,0
1096,0
1097,0
1099,0
1100,1
1101,1
1105,1
1107,1
1108,1
1112,1
1113,0
1120,0
1122,0
1123,0
1124,1
1125,0
1127,0
1130,0
1132,1
1140,0
1141,1
1142,0
1144,0
1145,0
1147,1
1148,0
1149,0
1151,0
1152,0
1153,0
1157,0
1158,0
1159,1
1162,0
1163,0
1167,0
1168,0
1172,1
1174,1
1177,0
1178,0
1184,1
1185,1
1186,1
1192,0
1193,0
1196,1
1197,0
1200,0
1203,1
1207,0
1208,0
1210,0
1212,1
1214,1
1218,0
1219,0
1220,0
1225,1
1226,0
1227,1
1229,0
1231,1
1233,1
1234,0
1235,1
1237,1
1239,0
1241,1
1244,0
1250,1
1251,1
1252,1
1253,1
1255,0
1259,0
1260,1
1261,0
1262,0
1263,0
1265,1
1266,0
1269,0
1270,0
1271,1
1272,0
1274,0
1277,1
1278,0
1279,0
1280,0
1283,0
1284,0
1285,0
1286,0
1288,0
1290,0
1291,0
1296,0
1297,0
1298,0
1300,0
1301,1
1303,1
1304,0
1306,0
1308,1
1309,0
